"year","species","catch","type"
1950,"BLF",0,"ICCAT"
1950,"BLT",0,"ICCAT"
1950,"BON",0,"ICCAT"
1950,"BRS",0,"ICCAT"
1950,"DOL",0,"ICCAT"
1950,"FRI",0,"ICCAT"
1950,"KGM",0,"ICCAT"
1950,"LTA",0,"ICCAT"
1950,"WAH",0,"ICCAT"
1951,"BLF",0,"ICCAT"
1951,"BLT",0,"ICCAT"
1951,"BON",0,"ICCAT"
1951,"BRS",0,"ICCAT"
1951,"DOL",0,"ICCAT"
1951,"FRI",0,"ICCAT"
1951,"KGM",0,"ICCAT"
1951,"LTA",0,"ICCAT"
1951,"WAH",0,"ICCAT"
1952,"BLF",0,"ICCAT"
1952,"BLT",0,"ICCAT"
1952,"BON",0,"ICCAT"
1952,"BRS",0,"ICCAT"
1952,"DOL",0,"ICCAT"
1952,"FRI",0,"ICCAT"
1952,"KGM",0,"ICCAT"
1952,"LTA",0,"ICCAT"
1952,"WAH",0,"ICCAT"
1953,"BLF",0,"ICCAT"
1953,"BLT",0,"ICCAT"
1953,"BON",0,"ICCAT"
1953,"BRS",0,"ICCAT"
1953,"DOL",0,"ICCAT"
1953,"FRI",0,"ICCAT"
1953,"KGM",0,"ICCAT"
1953,"LTA",0,"ICCAT"
1953,"WAH",0,"ICCAT"
1954,"BLF",0,"ICCAT"
1954,"BLT",0,"ICCAT"
1954,"BON",0,"ICCAT"
1954,"BRS",0,"ICCAT"
1954,"DOL",0,"ICCAT"
1954,"FRI",0,"ICCAT"
1954,"KGM",0,"ICCAT"
1954,"LTA",0,"ICCAT"
1954,"WAH",0,"ICCAT"
1955,"BLF",0,"ICCAT"
1955,"BLT",0,"ICCAT"
1955,"BON",0,"ICCAT"
1955,"BRS",0,"ICCAT"
1955,"DOL",0,"ICCAT"
1955,"FRI",0,"ICCAT"
1955,"KGM",0,"ICCAT"
1955,"LTA",0,"ICCAT"
1955,"WAH",0,"ICCAT"
1956,"BLF",0,"ICCAT"
1956,"BLT",0,"ICCAT"
1956,"BON",0,"ICCAT"
1956,"BRS",0,"ICCAT"
1956,"DOL",0,"ICCAT"
1956,"FRI",0,"ICCAT"
1956,"KGM",0,"ICCAT"
1956,"LTA",0,"ICCAT"
1956,"WAH",0,"ICCAT"
1957,"BLF",0,"ICCAT"
1957,"BLT",0,"ICCAT"
1957,"BON",0,"ICCAT"
1957,"BRS",0,"ICCAT"
1957,"DOL",0,"ICCAT"
1957,"FRI",0,"ICCAT"
1957,"KGM",0,"ICCAT"
1957,"LTA",0,"ICCAT"
1957,"WAH",0,"ICCAT"
1958,"BLF",0,"ICCAT"
1958,"BLT",0,"ICCAT"
1958,"BON",0,"ICCAT"
1958,"BRS",433.5962,"ICCAT"
1958,"DOL",0,"ICCAT"
1958,"FRI",0,"ICCAT"
1958,"KGM",366.4038,"ICCAT"
1958,"LTA",0,"ICCAT"
1958,"WAH",0,"ICCAT"
1959,"BLF",0,"ICCAT"
