"yr","region","codsp","codgr","fl","source"
1977,"NE","BLF","TR",36,"ICCAT"
1977,"NE","BLF","TR",37,"ICCAT"
1977,"NE","BLF","TR",39,"ICCAT"
1977,"NE","BLF","TR",39,"ICCAT"
1977,"NE","BLF","TR",39,"ICCAT"
1977,"NE","BLF","TR",40,"ICCAT"
1977,"NE","BLF","TR",40,"ICCAT"
1977,"NE","BLF","TR",41,"ICCAT"
1977,"NE","BLF","TR",42,"ICCAT"
1977,"NE","BLF","TR",42,"ICCAT"
1977,"NE","BLF","TR",42,"ICCAT"
1977,"NE","BLF","TR",42,"ICCAT"
1977,"NE","BLF","TR",43,"ICCAT"
1977,"NE","BLF","TR",43,"ICCAT"
1977,"NE","BLF","TR",43,"ICCAT"
1977,"NE","BLF","TR",44,"ICCAT"
1977,"NE","BLF","TR",44,"ICCAT"
1977,"NE","BLF","TR",44,"ICCAT"
1977,"NE","BLF","TR",44,"ICCAT"
1977,"NE","BLF","TR",45,"ICCAT"
1977,"NE","BLF","TR",45,"ICCAT"
1977,"NE","BLF","TR",45,"ICCAT"
1977,"NE","BLF","TR",46,"ICCAT"
1977,"NE","BLF","TR",46,"ICCAT"
1977,"NE","BLF","TR",46,"ICCAT"
1977,"NE","BLF","TR",46,"ICCAT"
1977,"NE","BLF","TR",46,"ICCAT"
1977,"NE","BLF","TR",46,"ICCAT"
1977,"NE","BLF","TR",47,"ICCAT"
1977,"NE","BLF","TR",47,"ICCAT"
1977,"NE","BLF","TR",47,"ICCAT"
1977,"NE","BLF","TR",47,"ICCAT"
1977,"NE","BLF","TR",47,"ICCAT"
1977,"NE","BLF","TR",48,"ICCAT"
1977,"NE","BLF","TR",48,"ICCAT"
1977,"NE","BLF","TR",48,"ICCAT"
1977,"NE","BLF","TR",48,"ICCAT"
1977,"NE","BLF","TR",48,"ICCAT"
1977,"NE","BLF","TR",48,"ICCAT"
1977,"NE","BLF","TR",48,"ICCAT"
1977,"NE","BLF","TR",48,"ICCAT"
1977,"NE","BLF","TR",48,"ICCAT"
1977,"NE","BLF","TR",48,"ICCAT"
1977,"NE","BLF","TR",49,"ICCAT"
1977,"NE","BLF","TR",49,"ICCAT"
1977,"NE","BLF","TR",49,"ICCAT"
1977,"NE","BLF","TR",49,"ICCAT"
1977,"NE","BLF","TR",49,"ICCAT"
1977,"NE","BLF","TR",49,"ICCAT"
1977,"NE","BLF","TR",49,"ICCAT"
1977,"NE","BLF","TR",50,"ICCAT"
1977,"NE","BLF","TR",50,"ICCAT"
1977,"NE","BLF","TR",50,"ICCAT"
1977,"NE","BLF","TR",50,"ICCAT"
1977,"NE","BLF","TR",50,"ICCAT"
1977,"NE","BLF","TR",50,"ICCAT"
1977,"NE","BLF","TR",50,"ICCAT"
1977,"NE","BLF","TR",50,"ICCAT"
1977,"NE","BLF","TR",50,"ICCAT"
1977,"NE","BLF","TR",50,"ICCAT"
1977,"NE","BLF","TR",50,"ICCAT"
1977,"NE","BLF","TR",50,"ICCAT"
1977,"NE","BLF","TR",50,"ICCAT"
1977,"NE","BLF","TR",50,"ICCAT"
1977,"NE","BLF","TR",50,"ICCAT"
1977,"NE","BLF","TR",51,"ICCAT"
1977,"NE","BLF","TR",51,"ICCAT"
1977,"NE","BLF","TR",51,"ICCAT"
1977,"NE","BLF","TR",51,"ICCAT"
1977,"NE","BLF","TR",51,"ICCAT"
1977,"NE","BLF","TR",51,"ICCAT"
1977,"NE","BLF","TR",51,"ICCAT"
1977,"NE","BLF","TR",51,"ICCAT"
1977,"NE","BLF","TR",51,"ICCAT"
1977,"NE","BLF","TR",51,"ICCAT"
1977,"NE","BLF","TR",51,"ICCAT"
1977,"NE","BLF","TR",51,"ICCAT"
1977,"NE","BLF","TR",51,"ICCAT"
1977,"NE","BLF","TR",51,"ICCAT"
